"","country","ccode","year","Capacity","demo","lnpop","lngdp","polity2"
"1","United States",2,1960,1.05751609802246,1,12.1044387817383,9.33503246307373,1
"2","United States",2,1961,1.09770441055298,1,12.1210155487061,9.34154415130615,1
"3","United States",2,1962,1.1665985584259,1,12.1363954544067,9.38471412658691,1
"4","United States",2,1963,1.0888055562973,1,12.1507873535156,9.41262817382812,1
"5","United States",2,1964,1.07387840747833,1,12.1646776199341,9.45508861541748,1
"6","United States",2,1965,1.05981254577637,1,12.1771793365479,9.50442695617676,1
"7","United States",2,1966,1.14506912231445,1,12.1887283325195,9.5563383102417,1
"8","United States",2,1967,1.16803395748138,1,12.1996164321899,9.57011032104492,1
"9","United States",2,1968,1.20535159111023,1,12.2096014022827,9.60663032531738,1
"10","United States",2,1969,1.20965754985809,1,12.2193737030029,9.6276683807373,1
"11","United States",2,1970,1.21826922893524,1,12.2310237884521,9.6178035736084,1
"12","United States",2,1971,1.21539866924286,1,12.2436666488647,9.6358699798584,1
"13","United States",2,1972,1.5943169593811,1,12.2543725967407,9.67683792114258,1
"14","United States",2,1973,1.63450527191162,1,12.2639169692993,9.72250556945801,1
"15","United States",2,1974,1.67612886428833,1,12.2730531692505,9.71057033538818,1
"16","United States",2,1975,1.63737595081329,1,12.2829132080078,9.69793796539307,1
"17","United States",2,1976,1.71631717681885,1,12.2924156188965,9.73949718475342,1
"18","United States",2,1977,1.79956436157227,1,12.3024730682373,9.77377700805664,1
"19","United States",2,1978,1.81965851783752,1,12.3130683898926,9.81863784790039,1
"20","United States",2,1979,1.87707042694092,1,12.324104309082,9.84102725982666,1
"21","United States",2,1980,1.94309413433075,1,12.3359031677246,9.82967948913574,1
"22","United States",2,1981,1.86271750926971,1,12.3456907272339,9.84458637237549,1
"23","United States",2,1982,2.00624704360962,1,12.3553066253662,9.81602191925049,1
"24","United States",2,1983,2.01198840141296,1,12.3643913269043,9.84797477722168,1
"25","United States",2,1984,2.03208255767822,1,12.373064994812,9.90961837768555,1
"26","United States",2,1985,2.04787063598633,1,12.381986618042,9.93871021270752,1
"27","United States",2,1986,2.08375310897827,1,12.3911075592041,9.96345329284668,1
"28","United States",2,1987,1.96605885028839,1,12.400013923645,9.98911476135254,1
"29","United States",2,1988,2.09954142570496,1,12.4091033935547,10.0212259292603,1
"30","United States",2,1989,2.092365026474,1,12.4185314178467,10.0458116531372,1
"31","United States",2,1990,2.07370615005493,1,12.4288482666016,10.0519504547119,1
"32","United States",2,1991,1.92443525791168,1,12.4396381378174,10.0366630554199,1
"33","United States",2,1992,1.88281166553497,1,12.4505548477173,10.0561227798462,1
"34","United States",2,1993,1.98471772670746,1,12.4612302780151,10.0696792602539,1
"35","United States",2,1994,1.99476480484009,1,12.4707536697388,10.0973672866821,1
"36","United States",2,1995,1.92874109745026,1,12.4789810180664,10.1106233596802,1
"37","United States",2,1996,1.96892940998077,1,12.4885597229004,10.1357889175415,1
